epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202001,X,US,,,,,,,,,,,,179143.0,1155.0,,,,,,,
202002,X,US,,,,,,,,,,,,180831.0,1386.0,,,,,,,
202003,X,US,,,,,,,,,,,,176752.0,1035.6666666666667,,,,,,,
202004,X,US,,,,,,,,,,,,176066.0,892.0,1.0,1.0,2.0,2.0,,,
202005,X,US,,,,,,,,,,,,175092.0,1005.0,1.0,0.0,8.0,6.0,,,
202006,X,US,,,,,,,,,,,,177040.0,1060.6666666666667,1.0,0.0,12.0,4.0,,,
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,,,,,,175040.0,912.3333333333334,1.0,0.0,14.0,2.0,,,
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,,,,,,175393.0,949.3333333333334,1.0,0.0,16.0,2.0,,,
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,,,,,,176648.0,906.3333333333334,2.0,1.0,26.0,10.0,,,
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,,,,,0.1,177707.0,1223.6666666666667,18.0,16.0,417.0,391.0,5996.0,733.0,6755.0
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,,,,,0.6,174586.66666666666,925.0,61.0,43.0,2952.0,2535.0,40534.0,4469.0,45138.0
202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,,,,,2.9,175517.66666666666,1099.3333333333333,482.0,421.0,26056.0,23104.0,294517.0,44374.0,339225.0
202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,,,,,7.6,183165.3333333333,7590.0,3018.0,2536.0,127417.0,101361.0,616095.0,136068.0,752862.0
202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,,,,,9.5,201348.66666666663,27047.0,11578.0,8560.0,323966.0,196549.0,788853.0,210135.0,1000555.0
202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,515.0,,,,9.2,214520.66666666663,41804.0,26286.0,14708.0,545325.0,221359.0,939856.0,236688.0,1179147.0
202016,X,US,-44.285714285714285,-19.285714285714285,-22.0,-51.142857142857146,-46.42857142857143,18.714285714285715,580.0,,,,9.9,208434.3333333333,36884.333333333336,41512.0,15226.0,743438.0,198113.0,892207.0,208180.0,1102889.0
202017,X,US,-40.142857142857146,-14.857142857142858,-8.571428571428571,-48.285714285714285,-44.57142857142857,17.714285714285715,373.0,,,,9.5,202815.0,33354.666666666664,56934.0,15422.0,949545.0,206107.0,1226799.0,226725.0,1457375.0
202018,X,US,-35.0,-10.0,1.7142857142857142,-44.57142857142857,-42.57142857142857,15.285714285714286,516.0,,,,9.3,192206.3333333333,24917.0,70256.0,13322.0,1142497.0,192952.0,1623801.0,248330.0,1879386.0
202019,X,US,-30.142857142857142,-3.5714285714285716,9.428571428571429,-41.42857142857143,-39.57142857142857,14.571428571428571,472.0,,,,8.2,187279.3333333333,21461.0,82475.0,12219.0,1317473.0,174976.0,1989737.0,229527.0,2226424.0
202020,X,US,-28.857142857142858,-5.142857142857143,14.428571428571429,-39.714285714285715,-37.57142857142857,13.857142857142858,453.0,,,,7.6,182580.0,17800.333333333332,92355.0,9880.0,1473568.0,156095.0,2464698.0,221265.0,2692237.0
202021,X,US,-25.0,-3.7142857142857144,23.142857142857142,-37.57142857142857,-35.714285714285715,12.857142857142858,417.0,,,,7.4,176273.0,12710.0,100754.0,8399.0,1626786.0,153218.0,2635614.0,212471.0,2855136.0
202022,X,US,-23.428571428571427,-3.5714285714285716,40.0,-36.285714285714285,-37.142857142857146,12.428571428571429,309.0,,,,6.1,171612.66666666666,9917.333333333334,107221.0,6467.0,1772189.0,145403.0,2993852.0,213243.0,3217703.0
202023,X,US,-19.142857142857142,-0.7142857142857143,38.285714285714285,-33.0,-30.428571428571427,10.571428571428571,208.0,,,,4.8,170409.33333333334,9095.333333333334,113088.0,5867.0,1922256.0,150067.0,3332183.0,210818.0,3550750.0
202024,X,US,-16.428571428571427,-0.7142857142857143,49.714285714285715,-30.285714285714285,-29.285714285714285,9.428571428571429,278.0,,,,4.0,168629.0,7693.333333333333,118157.0,5069.0,2071118.0,148862.0,3558343.0,220290.0,3785941.0
202025,X,US,-14.285714285714286,0.5714285714285714,59.42857142857143,-28.0,-29.0,8.428571428571429,246.0,,,,4.0,168949.0,8284.0,122311.0,4154.0,2254042.0,182924.0,3927535.0,317122.0,4252650.0
202026,X,US,-15.285714285714286,-1.0,56.57142857142857,-27.428571428571427,-29.857142857142858,8.714285714285714,469.0,,,,4.5,170405.33333333334,10515.666666666666,126173.0,3862.0,2514389.0,260347.0,4273337.0,398363.0,4680425.0
202027,X,US,-13.714285714285714,2.5714285714285716,64.14285714285714,-27.714285714285715,-35.142857142857146,9.0,824.0,,,,5.9,173763.0,14341.333333333334,129846.0,3673.0,2851097.0,336708.0,4711536.0,526224.0,5248659.0
202028,X,US,-15.714285714285714,-2.2857142857142856,52.57142857142857,-27.714285714285715,-31.857142857142858,8.857142857142858,960.0,,,,7.6,178810.66666666666,19336.0,135132.0,5286.0,3255755.0,404658.0,5348567.0,629334.0,5992511.0
202029,X,US,-14.714285714285714,-1.4285714285714286,60.285714285714285,-28.142857142857142,-30.714285714285715,8.714285714285714,18510.0,,,,8.1,181165.66666666663,21953.0,140693.0,5561.0,3709336.0,453581.0,5900623.0,656993.0,6576143.0
202030,X,US,-15.285714285714286,-3.0,57.0,-28.857142857142858,-30.857142857142858,8.714285714285714,32787.0,,,,7.6,183280.0,24172.0,147162.0,6469.0,4171589.0,462253.0,6128853.0,632349.0,6792623.0
202031,X,US,-14.571428571428571,-2.7142857142857144,57.57142857142857,-28.285714285714285,-31.285714285714285,8.428571428571429,38501.0,,,,6.9,183221.0,24175.0,155038.0,7876.0,4607030.0,435441.0,5725161.0,531296.0,6282798.0
202032,X,US,-13.857142857142858,-2.5714285714285716,58.0,-28.142857142857142,-31.142857142857142,8.142857142857142,33256.0,,,,6.3,182113.66666666663,22948.33333333333,162301.0,7263.0,4995939.0,388909.0,5569444.0,443314.0,6029757.0
202033,X,US,-14.714285714285714,-3.7142857142857144,56.285714285714285,-28.285714285714285,-31.0,7.714285714285714,31514.0,,,,5.6,182483.0,22333.666666666668,169361.0,7060.0,5387688.0,391749.0,5609435.0,385417.0,6011060.0
202034,X,US,-15.142857142857142,-4.571428571428571,50.142857142857146,-28.714285714285715,-30.142857142857142,7.714285714285714,30668.0,,,,5.2,180131.66666666666,20292.33333333333,175520.0,6159.0,5689518.0,301830.0,5517691.0,335437.0,5867016.0
202035,X,US,-15.857142857142858,-5.571428571428571,41.142857142857146,-29.428571428571427,-29.571428571428573,8.0,29304.0,,,,4.4,176341.0,15553.666666666666,181835.0,6315.0,5980081.0,290563.0,5568435.0,326439.0,5907319.0
202036,X,US,-13.428571428571429,-3.2857142857142856,48.714285714285715,-26.857142857142858,-29.857142857142858,6.714285714285714,27407.0,,,,4.0,174534.0,13383.0,187646.0,5811.0,6266952.0,286871.0,5664332.0,313113.0,5989449.0
202037,X,US,-15.714285714285714,-5.714285714285714,45.142857142857146,-30.142857142857142,-34.42857142857143,7.857142857142857,27621.0,,,,3.9,173160.33333333334,11325.333333333334,192768.0,5122.0,6511697.0,244745.0,5333096.0,263703.0,5606279.0
202038,X,US,-15.0,-6.0,38.714285714285715,-29.285714285714285,-27.0,6.857142857142857,24453.0,,,,3.8,173715.33333333334,10981.666666666666,198180.0,5412.0,6801965.0,290268.0,6399353.0,303895.0,6712857.0
202039,X,US,-15.285714285714286,-6.428571428571429,32.57142857142857,-30.142857142857142,-26.428571428571427,6.857142857142857,24484.0,,,,4.3,176335.33333333334,13574.0,203494.0,5314.0,7094775.0,292810.0,6507180.0,317216.0,6834313.0
202040,X,US,-14.571428571428571,-5.0,22.285714285714285,-29.714285714285715,-25.714285714285715,6.571428571428571,26996.0,,,,4.5,174017.33333333334,10787.0,208341.0,4847.0,7396953.0,302178.0,6471457.0,329423.0,6809458.0
202041,X,US,-15.142857142857142,-5.142857142857143,27.714285714285715,-29.0,-26.0,6.571428571428571,32667.0,,,,5.8,179294.66666666666,14954.333333333334,213363.0,5022.0,7731516.0,334563.0,7589919.0,394056.0,8000246.0
202042,X,US,-15.714285714285714,-6.285714285714286,21.285714285714285,-29.285714285714285,-26.571428571428573,7.428571428571429,36278.0,12.0,,,6.5,175484.33333333334,10477.333333333334,218511.0,5148.0,8119913.0,388397.0,7107770.0,440285.0,7571393.0
202043,X,US,-16.571428571428573,-6.857142857142857,14.714285714285714,-29.142857142857142,-25.142857142857142,7.285714285714286,41095.0,218.0,,,7.8,179327.0,13183.666666666666,224411.0,5900.0,8605031.0,485118.0,7954973.0,547934.0,8531611.0
202044,X,US,-16.714285714285715,-5.714285714285714,1.8571428571428572,-31.142857142857142,-25.428571428571427,7.857142857142857,46068.0,428.0,,,9.6,181971.3333333333,15193.666666666666,230489.0,6078.0,9177120.0,572089.0,8079987.0,650879.0,8761427.0
202045,X,US,-16.571428571428573,-7.428571428571429,6.142857142857143,-32.57142857142857,-25.428571428571427,7.857142857142857,55404.0,477.0,,,12.6,192649.0,23999.33333333333,237875.0,7386.0,9954497.0,777377.0,8785455.0,885451.0,9695937.0
202046,X,US,-18.0,-8.142857142857142,-3.2857142857142856,-34.285714285714285,-26.571428571428573,9.0,69760.0,585.0,,,16.1,194504.3333333333,25227.666666666668,245990.0,8115.0,10984029.0,1029532.0,9673383.0,1185182.0,10880602.0
202047,X,US,-19.571428571428573,-7.0,-7.142857142857143,-34.0,-25.857142857142858,9.142857142857142,81601.0,548.0,,,18.4,200402.0,29729.666666666668,256953.0,10963.0,12189739.0,1205710.0,11385102.0,1292138.0,12705756.0
202048,X,US,-24.714285714285715,-6.428571428571429,-7.571428571428571,-38.714285714285715,-40.57142857142857,12.285714285714286,85943.0,590.0,,,19.0,203049.0,30897.33333333333,268027.0,11074.0,13370750.0,1181011.0,10379503.0,1204919.0,11614175.0
202049,X,US,-19.857142857142858,-8.571428571428571,-16.0,-35.57142857142857,-26.571428571428573,9.857142857142858,94809.0,577.0,,,19.8,212390.66666666663,37390.0,283766.0,15739.0,14739219.0,1368469.0,10942523.0,1494465.0,12465982.0
202050,X,US,-20.0,-7.714285714285714,-14.571428571428571,-37.42857142857143,-26.285714285714285,9.571428571428571,100590.0,605.0,,,20.3,223719.0,47865.333333333336,301131.0,17365.0,16252461.0,1513242.0,11241100.0,1501348.0,12771750.0
202051,X,US,-19.571428571428573,-6.0,-22.0,-37.0,-27.714285714285715,10.428571428571429,104346.0,794.0,0.0,0.0,19.5,224992.0,47555.0,320096.0,18965.0,17805704.0,1553243.0,10981958.0,1499700.0,12516438.0
202052,X,US,-22.428571428571427,-2.7142857142857144,-17.428571428571427,-39.142857142857146,-42.57142857142857,12.428571428571429,104873.0,874.0,0.0,0.0,19.5,228200.66666666663,49072.0,336533.0,16437.0,19171033.0,1365329.0,9637209.0,1340544.0,11012032.0
